ID Caso;Código DANE de Municipio;Municipio;Departamento;Año;Mes;Día;ID Persona;Sexo;Etnia;Ocupación;Calidad de la Víctima o la Baja;Tipo de Población Vulnerable;Militante Político;Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Situación Actual de la Víctima;Edad;Latitud;Longitud
359653;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401087;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;ADOLESCENCIA (12-17 AÑOS);4;-72
359653;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401088;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4;-72
359653;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401089;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4;-72
359653;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401090;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4;-72
359653;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401091;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4;-72
359658;68000;SIN INFORMACION;SANTANDER;0000;00;00;401092;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;ADOLESCENCIA (12-17 AÑOS);6,693633184;-73,48600894
359659;68000;SIN INFORMACION;SANTANDER;0000;00;00;401093;MUJER;;ECONOMÍA INFORMAL;CIVIL;LÍDER COMUNITARIO;;;;MUERTA;;6,693633184;-73,48600894
359660;68689;SAN VICENTE DE CHUCURI;SANTANDER;0000;00;00;401094;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;ADOLESCENCIA (12-17 AÑOS);6,830828057;-73,71248156
359661;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401095;MUJER;;CAMPESINO;CIVIL;;;;;VIVA;;4;-72
359662;70713;SAN ONOFRE;SUCRE;0000;00;00;401096;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;ADOLESCENCIA (12-17 AÑOS);9,736932014;-75,5230307
359663;70713;SAN ONOFRE;SUCRE;0000;00;00;401097;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;9,897567531;-75,573028
359663;70713;SAN ONOFRE;SUCRE;0000;00;00;401098;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;9,897567531;-75,573028
359665;54810;TIBU;NORTE DE SANTANDER;0000;00;00;762398;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;MUERTA;;8,639548853;-72,73591863
359666;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401100;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4;-72
359667;50000;SIN INFORMACION;META;0000;00;00;401101;MUJER;;COMERCIANTE;CIVIL;;;;;VIVA;;4,733969909;-71,10816614
359667;50000;SIN INFORMACION;META;0000;00;00;401102;MUJER;;TRABAJADOR(A) SEXUAL;CIVIL;;;;;MUERTA;;4,733969909;-71,10816614
359669;50000;SIN INFORMACION;META;0000;00;00;401103;MUJER;;CAMPESINO;CIVIL;;;;;VIVA;;4,733969909;-71,10816614
359670;50711;VISTAHERMOSA;META;0000;00;00;401104;MUJER;;CAMPESINO;CIVIL;;;;;VIVA;;3,070093763;-73,80872388
359671;50000;SIN INFORMACION;META;0000;00;00;401105;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4,733969909;-71,10816614
359673;11001;BOGOTA, D.C.;BOGOTA, D. C.;0000;00;00;401107;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4,65017303;-74,107359
