ID_Caso,DANE,Municipio,Departamento,Anho,Mes,Dia,ID_Persona,Sexo,Ocupacion,Tipo_Victima,Estado,Edad,Latitud,Longitud
364645,05001,MEDELLIN,ANTIOQUIA,2000,10,11,406079,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),6.246715564,-75.581713332
364646,05579,PUERTO BERRIO,ANTIOQUIA,2000,10,11,406080,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),6.4870411404,-74.4099455275
364647,47189,CIENAGA,MAGDALENA,2000,10,12,406081,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),11.0066568813,-74.2412861592
364649,86885,VILLAGARZON,PUTUMAYO,2000,10,13,406083,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),1.0289410116,-76.6171624674
364651,85430,TRINIDAD,CASANARE,2000,10,13,406085,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),5.4122147162,-71.6633409045
364652,47980,ZONA BANANERA,MAGDALENA,2000,10,14,406086,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),10.7630268185,-74.140081844
364653,54810,TIBU,NORTE DE SANTANDER,2000,10,14,406087,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),8.6395488525,-72.7359186314
364654,86573,PUERTO LEGUIZAMO,PUTUMAYO,2000,10,15,406088,MUJER,CAMPESINO,CIVIL,VIVA,ADULTEZ (29-59 AÑOS),-0.1918728487,-74.782471025
364655,41551,PITALITO,HUILA,2000,10,15,406089,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),1.8525783554,-76.0487449016
364656,19110,BUENOS AIRES,CAUCA,2000,10,15,406090,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),3.0154268296,-76.6422805942
